,,DS1,DS1,DS1,DS1,DS10,DS10,DS10,DS10,DS11,DS11,DS11,DS11,DS12,DS12,DS12,DS12,DS13,DS13,DS13,DS13,DS14,DS14,DS14,DS14,DS15,DS15,DS15,DS15,DS2,DS2,DS2,DS2,DS3,DS3,DS3,DS3,DS4,DS4,DS4,DS4,DS5,DS5,DS5,DS5,DS6,DS6,DS6,DS6,DS7,DS7,DS7,DS7,DS8,DS8,DS8,DS8,DS9,DS9,DS9,DS9,DV,Incomplete,Quantity,Description
,,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Family,LongLeadTime,Theta_0,Theta_1,Unit,,Unit,
B.10.31.001,Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,1400.98,0.44704,normal,,1425.07,0.45394,normal,,1848.35,0.45787,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,Bolted shear tab gravity connections
B.10.31.001,Cost,lognormal,,"10536,8176|5,20",0.38359,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"16536,10176|5,20",0.3706,normal,,"15564,11024.5|5,20",0.37889,normal,,"15264,10812|5,20",0.38359,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,Bolted shear tab gravity connections
B.10.31.001,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,19347.06,0.44704,normal,,20086.33,0.45394,normal,,32234.95,0.45787,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,Bolted shear tab gravity connections
B.10.31.001,Time,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"16.0497,9.87672|5,20",0.44704,normal,0,"15.1062,10.7002|5,20",0.45394,normal,0,"14.8151,10.494|5,20",0.45787,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,Bolted shear tab gravity connections
B.10.31.011a,Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,4188.93,0.47762,lognormal,,5905.11,0.4436,lognormal,,10066.43,0.42477,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Steel Column Base Plates, Column W < 150 plf"
B.10.31.011a,Cost,lognormal,,"5000,2000|5,20",0.25,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"25363,15608|5,20",0.40697,lognormal,,"31464,22287|5,20",0.36645,lognormal,,"36744,26027|5,20",0.34341,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Steel Column Base Plates, Column W < 150 plf"
B.10.31.011a,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,55561.99,0.47762,lognormal,,104179.01,0.4436,lognormal,,150387.51,0.42477,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Steel Column Base Plates, Column W < 150 plf"
B.10.31.011a,Time,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"24.6171,15.149|5,20",0.47762,lognormal,0,"30.5386,21.6315|5,20",0.4436,lognormal,0,"35.6633,25.2615|5,20",0.42477,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Steel Column Base Plates, Column W < 150 plf"
B.10.31.011b,Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,4266.02,0.46456,lognormal,,192.73,0.42345,lognormal,,385.45,0.39496,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Steel Column Base Plates, Column 150 plf < W < 300 plf"
B.10.31.011b,Cost,lognormal,,"5000,2000|5,20",0.25,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"26403,16248|5,20",0.39156,lognormal,,"33864,23987|5,20",0.34177,lognormal,,"41544,29427|5,20",0.30576,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Steel Column Base Plates, Column 150 plf < W < 300 plf"
B.10.31.011b,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,57927.64,0.46456,lognormal,,5914.11,0.42345,lognormal,,11828.22,0.39496,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Steel Column Base Plates, Column 150 plf < W < 300 plf"
B.10.31.011b,Time,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"19.4139,11.947|5,20",0.46456,lognormal,0,"24.9,17.6375|5,20",0.42345,lognormal,0,"30.5471,21.6375|5,20",0.39496,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Steel Column Base Plates, Column 150 plf < W < 300 plf"
B.10.31.011c,Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,4381.66,0.44695,lognormal,,481.82,0.39857,lognormal,,867.27,0.36717,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Steel Column Base Plates, Column W > 300 plf"
B.10.31.011c,Cost,lognormal,,"5000,2000|5,20",0.25,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"27963,17208|5,20",0.37049,lognormal,,"37464,26537|5,20",0.31042,lognormal,,"47544,33677|5,20",0.26892,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Steel Column Base Plates, Column W > 300 plf"
B.10.31.011c,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,61476.11,0.44695,lognormal,,14785.28,0.39857,lognormal,,26613.5,0.36717,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Steel Column Base Plates, Column W > 300 plf"
B.10.31.011c,Time,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"18.505,11.3877|5,20",0.44695,lognormal,0,"24.7924,17.5613|5,20",0.39857,lognormal,0,"31.4629,22.2862|5,20",0.36717,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Steel Column Base Plates, Column W > 300 plf"
B.10.31.021a,Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,1018.18,0.40984,lognormal,,1018.18,0.39208,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Welded column splices, Column W < 150 plf"
B.10.31.021a,Cost,lognormal,,"5000,2000|5,20",0.25,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"12142,7472|5,20",0.32475,lognormal,,"13608,9639|5,20",0.30204,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Welded column splices, Column W < 150 plf"
B.10.31.021a,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,16516.66,0.40984,lognormal,,16516.66,0.39208,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Welded column splices, Column W < 150 plf"
B.10.31.021a,Time,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"11.7849,7.25224|5,20",0.40984,lognormal,0,"13.2078,9.35553|5,20",0.39208,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Welded column splices, Column W < 150 plf"
B.10.31.021b,Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,77.09,0.39005,normal,,192.73,0.36703,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Welded column splices, Column 150 plf < W < 300 plf"
B.10.31.021b,Cost,lognormal,,"5000,2000|5,20",0.25,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"13182,8112|5,20",0.2994,normal,,"16008,11339|5,20",0.26872,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Welded column splices, Column 150 plf < W < 300 plf"
B.10.31.021b,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,2365.64,0.39005,normal,,5914.11,0.36703,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Welded column splices, Column 150 plf < W < 300 plf"
B.10.31.021b,Time,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"9.69266,5.96472|5,20",0.39005,normal,0,"11.7706,8.33748|5,20",0.36703,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Welded column splices, Column 150 plf < W < 300 plf"
B.10.31.021c,Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,192.73,0.36651,normal,,481.82,0.34384,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Welded column splices, Column W > 300 plf"
B.10.31.021c,Cost,lognormal,,"5000,2000|5,20",0.25,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"14742,9072|5,20",0.26801,normal,,"19608,13889|5,20",0.23607,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Welded column splices, Column W > 300 plf"
B.10.31.021c,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,5914.11,0.36651,normal,,14785.28,0.34384,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Welded column splices, Column W > 300 plf"
B.10.31.021c,Time,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"9.75572,6.00352|5,20",0.36651,normal,0,"12.9758,9.19121|5,20",0.34384,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Welded column splices, Column W > 300 plf"
B.10.33.002a,Carbon,normal,,6967.05,0.41444,,,,,,,,,,,,,,,,,,,,,,,,,normal,,7845.12,0.40619,normal,,7570.86,0.40526,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w < 40 PLF"
B.10.33.002a,Cost,normal,,"46307,28496.6|5,20",0.33055,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"46705.4,33083|5,20",0.32014,normal,,"47005.4,33295.5|5,20",0.31896,normal,,"47005.4,33295.5|5,20",0.31896,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w < 40 PLF"
B.10.33.002a,Energy,normal,,87499.61,0.41444,,,,,,,,,,,,,,,,,,,,,,,,,normal,,113088.5,0.40619,normal,,105095.87,0.40526,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w < 40 PLF"
B.10.33.002a,Time,normal,0,"30.6444,18.8581|5,20",0.41444,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"30.908,21.8932|5,20",0.40619,normal,0,"31.1065,22.0338|5,20",0.40526,normal,0,"31.1065,22.0338|5,20",0.40526,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w < 40 PLF"
B.10.33.002b,Carbon,normal,,6967.05,0.41444,,,,,,,,,,,,,,,,,,,,,,,,,normal,,9290.15,0.39621,normal,,9290.15,0.3909,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, 41 PLF < w < 99 PLF"
B.10.33.002b,Cost,normal,,"46307,28496.6|5,20",0.33055,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"51447.3,36441.8|5,20",0.30738,normal,,"55047.3,38991.8|5,20",0.30051,normal,,"55047.3,38991.8|5,20",0.30051,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, 41 PLF < w < 99 PLF"
B.10.33.002b,Energy,normal,,87499.61,0.41444,,,,,,,,,,,,,,,,,,,,,,,,,normal,,155199.63,0.39621,normal,,155199.63,0.3909,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, 41 PLF < w < 99 PLF"
B.10.33.002b,Time,normal,0,"30.6444,18.8581|5,20",0.41444,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"34.046,24.116|5,20",0.39621,normal,0,"36.4284,25.8035|5,20",0.39091,normal,0,"36.4284,25.8035|5,20",0.39091,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, 41 PLF < w < 99 PLF"
B.10.33.002c,Carbon,normal,,6967.05,0.41444,,,,,,,,,,,,,,,,,,,,,,,,,normal,,11484.97,0.38711,normal,,11484.97,0.38025,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w > 100 PLF"
B.10.33.002c,Cost,normal,,"46307,28496.6|5,20",0.33055,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"58049.6,41118.5|5,20",0.29555,normal,,"64649.6,45793.5|5,20",0.28652,normal,,"64649.6,45793.5|5,20",0.28652,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w > 100 PLF"
B.10.33.002c,Energy,normal,,87499.61,0.41444,,,,,,,,,,,,,,,,,,,,,,,,,normal,,219161.44,0.38711,normal,,219161.44,0.38025,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w > 100 PLF"
B.10.33.002c,Time,normal,0,"30.6444,18.8581|5,20",0.41444,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"38.4152,27.2108|5,20",0.38711,normal,0,"42.7829,30.3045|5,20",0.38025,normal,0,"42.7829,30.3045|5,20",0.38025,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w > 100 PLF"
B.10.33.111a,Carbon,normal,,8800.16,0.39967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
B.10.33.111a,Cost,normal,,"53992.7,33226.2|5,20",0.31183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
B.10.33.111a,Energy,normal,,140920.31,0.39967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
B.10.33.111a,Time,normal,0,"35.7304,21.9879|5,20",0.39967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
B.10.33.111b,Carbon,normal,,12158.52,0.38385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
B.10.33.111b,Cost,normal,,"65931.5,40573.2|5,20",0.29127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
B.10.33.111b,Energy,normal,,238789.99,0.38385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
B.10.33.111b,Time,normal,0,"43.6311,26.8499|5,20",0.38385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
B.10.33.111c,Carbon,normal,,16402.18,0.37355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace > 100 plf."
B.10.33.111c,Cost,normal,,"80367.6,49457|5,20",0.27756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace > 100 plf."
B.10.33.111c,Energy,normal,,362459.2,0.37355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace > 100 plf."
B.10.33.111c,Time,normal,0,"53.1844,32.7289|5,20",0.37355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace > 100 plf."
B.10.35.001,Carbon,normal,,3049.47,0.43244,,,,,,,,,,,,,,,,,,,,,,,,,normal,,7991.65,0.39468,normal,,7991.65,0.39468,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth <= W27"
B.10.35.001,Cost,normal,,"21750,14790|3,7",0.35285,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"36625,24905|3,7",0.3054,normal,,"36625,24905|3,7",0.3054,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth <= W27"
B.10.35.001,Energy,normal,,33086.21,0.43244,,,,,,,,,,,,,,,,,,,,,,,,,normal,,127850.77,0.39468,normal,,127850.77,0.39468,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth <= W27"
B.10.35.001,Time,normal,0,"12.7941,8.70001|3,7",0.43244,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"21.5441,14.65|3,7",0.39468,normal,0,"21.5441,14.65|3,7",0.39468,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth <= W27"
B.10.35.002,Carbon,normal,,3049.47,0.4157,,,,,,,,,,,,,,,,,,,,,,,,,normal,,8846.65,0.3784,normal,,8846.65,0.3784,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth >= W30"
B.10.35.002,Cost,normal,,"23000,15640|3,7",0.33213,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"40500,27540|3,7",0.28405,normal,,"40500,27540|3,7",0.28405,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth >= W30"
B.10.35.002,Energy,normal,,33086.21,0.4157,,,,,,,,,,,,,,,,,,,,,,,,,normal,,152886.41,0.3784,normal,,152886.41,0.3784,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth >= W30"
B.10.35.002,Time,normal,0,"13.5294,9.19997|3,7",0.4157,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"23.8235,16.2|3,7",0.3784,normal,0,"23.8235,16.2|3,7",0.3784,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth >= W30"
B.10.35.011,Carbon,normal,,5718.52,0.41201,,,,,,,,,,,,,,,,,,,,,,,,,normal,,15827.31,0.37271,normal,,15827.31,0.37271,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth <= W27"
B.10.35.011,Cost,normal,,"37500,25500|3,7",0.32749,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"65375,44455|3,7",0.27643,normal,,"65375,44455|3,7",0.27643,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth <= W27"
B.10.35.011,Energy,normal,,60737.7,0.41201,,,,,,,,,,,,,,,,,,,,,,,,,normal,,252404.18,0.37271,normal,,252404.18,0.37271,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth <= W27"
