,,DS1,DS1,DS1,DS1,DS10,DS10,DS10,DS10,DS11,DS11,DS11,DS11,DS12,DS12,DS12,DS12,DS13,DS13,DS13,DS13,DS14,DS14,DS14,DS14,DS15,DS15,DS15,DS15,DS2,DS2,DS2,DS2,DS3,DS3,DS3,DS3,DS4,DS4,DS4,DS4,DS5,DS5,DS5,DS5,DS6,DS6,DS6,DS6,DS7,DS7,DS7,DS7,DS8,DS8,DS8,DS8,DS9,DS9,DS9,DS9,DV,Incomplete,Quantity,Description
B.10.35.011,Time,normal,0,"22.0589,15|3,7",0.41201,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"38.4559,26.15|3,7",0.37271,normal,0,"38.4559,26.15|3,7",0.37271,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth <= W27"
B.10.35.012,Carbon,normal,,5718.52,0.39792,,,,,,,,,,,,,,,,,,,,,,,,,normal,,17537.31,0.35209,normal,,17537.31,0.35209,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth >= W30"
B.10.35.012,Cost,normal,,"40000,27200|3,7",0.30958,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"73125,49725|3,7",0.24793,normal,,"73125,49725|3,7",0.24793,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth >= W30"
B.10.35.012,Energy,normal,,60737.7,0.39792,,,,,,,,,,,,,,,,,,,,,,,,,normal,,302475.45,0.35209,normal,,302475.45,0.35209,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth >= W30"
B.10.35.012,Time,normal,0,"23.5294,16|3,7",0.39792,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"43.0147,29.25|3,7",0.35209,normal,0,"43.0147,29.25|3,7",0.35209,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth >= W30"
B.10.35.021,Carbon,normal,,3049.47,0.43244,,,,,,,,,,,,,,,,,,,,,,,,,normal,,7991.65,0.39468,normal,,7991.65,0.39468,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beam one side, beam depth <= W27"
B.10.35.021,Cost,normal,,"20880,13920|3,7",0.35285,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"35160,23440|3,7",0.3054,normal,,"35160,23440|3,7",0.3054,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beam one side, beam depth <= W27"
B.10.35.021,Energy,normal,,33086.21,0.43244,,,,,,,,,,,,,,,,,,,,,,,,,normal,,127850.77,0.39468,normal,,127850.77,0.39468,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beam one side, beam depth <= W27"
B.10.35.021,Time,normal,0,"12.2824,8.18824|3,7",0.43244,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"20.6824,13.7882|3,7",0.39468,normal,0,"20.6824,13.7882|3,7",0.39468,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beam one side, beam depth <= W27"
B.10.35.022,Carbon,normal,,3049.47,0.4157,,,,,,,,,,,,,,,,,,,,,,,,,normal,,8846.65,0.3784,normal,,8846.65,0.3784,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beam one side, beam depth >= W30"
B.10.35.022,Cost,normal,,"22080,14720|3,7",0.33213,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"38880,25920|3,7",0.28405,normal,,"38880,25920|3,7",0.28405,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beam one side, beam depth >= W30"
B.10.35.022,Energy,normal,,33086.21,0.4157,,,,,,,,,,,,,,,,,,,,,,,,,normal,,152886.41,0.3784,normal,,152886.41,0.3784,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beam one side, beam depth >= W30"
B.10.35.022,Time,normal,0,"12.9882,8.65879|3,7",0.4157,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"22.8706,15.247|3,7",0.3784,normal,0,"22.8706,15.247|3,7",0.3784,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beam one side, beam depth >= W30"
B.10.35.031,Carbon,normal,,5718.52,0.42521,,,,,,,,,,,,,,,,,,,,,,,,,normal,,15827.31,0.37271,normal,,15827.31,0.37271,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beams both sides, beam depth <= W27"
B.10.35.031,Cost,normal,,"42000,28000|3,7",0.34395,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"62760,41840|3,7",0.27643,normal,,"62760,41840|3,7",0.27643,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beams both sides, beam depth <= W27"
B.10.35.031,Energy,normal,,60737.7,0.42521,,,,,,,,,,,,,,,,,,,,,,,,,normal,,252404.18,0.37271,normal,,252404.18,0.37271,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beams both sides, beam depth <= W27"
B.10.35.031,Time,normal,0,"24.7058,16.4706|3,7",0.42521,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"36.9176,24.6118|3,7",0.37271,normal,0,"36.9176,24.6118|3,7",0.37271,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beams both sides, beam depth <= W27"
B.10.35.032,Carbon,normal,,5718.52,0.42521,,,,,,,,,,,,,,,,,,,,,,,,,normal,,17537.31,0.35209,normal,,17537.31,0.35209,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beams both sides, beam depth >= W30"
B.10.35.032,Cost,normal,,"42000,28000|3,7",0.34395,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"70200,46800|3,7",0.24793,normal,,"70200,46800|3,7",0.24793,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beams both sides, beam depth >= W30"
B.10.35.032,Energy,normal,,60737.7,0.42521,,,,,,,,,,,,,,,,,,,,,,,,,normal,,302475.45,0.35209,normal,,302475.45,0.35209,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beams both sides, beam depth >= W30"
B.10.35.032,Time,normal,0,"24.7058,16.4706|3,7",0.42521,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"41.2942,27.5294|3,7",0.35209,normal,0,"41.2942,27.5294|3,7",0.35209,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,"Post-Northridge welded steel moment connection other than RBS, beams both sides, beam depth >= W30"
B.20.11.101,Carbon,lognormal,,1764,0.35828,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,1904,0.44577,normal,,2210,0.27304,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,100 SF,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs"
B.20.11.101,Cost,lognormal,,"2990,1840|3,8",0.25663,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"3300,2337.5|3,8",0.36907,normal,,"5400,3825|3,8",0.10978,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,100 SF,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs"
B.20.11.101,Energy,lognormal,,18910,0.35828,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,21750,0.44577,normal,,30904,0.27304,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,100 SF,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs"
B.20.11.101,Time,lognormal,0,"2.32779,1.43147|3,8",0.35828,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"2.56868,1.81849|3,8",0.44577,normal,0,"4.21147,2.9839|3,8",0.27304,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,100 SF,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs"
B.20.11.121,Carbon,lognormal,,2377,0.31324,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,1995,0.33029,lognormal,,3001,0.26225,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,100 SF,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard and hold-downs"
B.20.11.121,Cost,lognormal,,"2134.17,1313.33|3,8",0.18873,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"2570,1820.42|3,8",0.21585,lognormal,,"6450,4568.75|3,8",0.07922,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,100 SF,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard and hold-downs"
B.20.11.121,Energy,lognormal,,24085,0.31324,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,20870,0.33029,lognormal,,39073,0.26225,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,100 SF,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard and hold-downs"
B.20.11.121,Time,lognormal,0,"1.66386,1.02409|3,8",0.31324,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"2.00385,1.41961|3,8",0.33029,lognormal,0,"5.02787,3.5616|3,8",0.26225,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,100 SF,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard and hold-downs"
B.20.22.001,Carbon,lognormal,,406.2,0.30054,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,406.2,0.30054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,30 SF,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.20.22.001,Cost,lognormal,,"2055,1096|20,100",0.1668,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"2055,1096|20,100",0.1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,30 SF,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.20.22.001,Energy,lognormal,,9437.4,0.30054,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,9437.4,0.30054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,30 SF,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.20.22.001,Time,lognormal,0,"0.905206,0.482118|20,100",0.30054,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"0.905206,0.482118|20,100",0.30054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,30 SF,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.30.11.011,Carbon,lognormal,,41,0.62808,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,154,0.39625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,100 SF,"Concrete tile roof, tiles secured and compliant with UBC94"
B.30.11.011,Cost,lognormal,,"840,490|13,130",0.57618,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"2220,1184|13,130",0.30743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,100 SF,"Concrete tile roof, tiles secured and compliant with UBC94"
B.30.11.011,Energy,lognormal,,985,0.62808,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,3769,0.39625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,100 SF,"Concrete tile roof, tiles secured and compliant with UBC94"
B.30.11.011,Time,lognormal,0,"0.954412,0.568382|13,130",0.62808,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"2.41618,1.27353|13,130",0.39625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,100 SF,"Concrete tile roof, tiles secured and compliant with UBC94"
C.10.11.001a,Carbon,normal,,208,0.54243,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,585,0.60954,lognormal,,13026,0.31759,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,100 LF,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.10.11.001a,Cost,normal,,"2677.5,1428|1,10",0.48138,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"6825,3640|1,10",0.55591,lognormal,,"10500,7437.5|1,10",0.19586,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,100 LF,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.10.11.001a,Energy,normal,,4979,0.54243,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,14963,0.60954,lognormal,,151970,0.31759,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,100 LF,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.10.11.001a,Time,normal,0,"2.12563,1.15175|1,10",0.54243,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"5.28316,2.80074|1,10",0.60954,lognormal,0,"8.12397,5.73702|1,10",0.31759,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,100 LF,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.20.11.001a,Carbon,lognormal,,39.53,1.02101,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,339.59,0.63137,normal,,22330.11,0.46804,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 EA,Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift.
C.20.11.001a,Cost,normal,,"4340,1302|1,10",0.45861,,,,,,,,,,,,,,,,,,,,,,,,,normal,,"11100,3330|1,10",0.48592,lognormal,,"33900,10170|1,10",0.23515,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 EA,Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift.
C.20.11.001a,Energy,lognormal,,940.85,1.02101,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,8712.46,0.63137,normal,,301678.87,0.46804,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 EA,Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift.
C.20.11.001a,Time,normal,0,"3.38132,1.01347|1,10",0.52233,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,"8.61574,2.55971|1,10",0.54646,lognormal,0,"26.471,7.97559|1,10",0.34321,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 EA,Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift.
C.30.21.001k,Carbon,normal,,5.08,0.42652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,1 SF,Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Dry
C.30.21.001k,Cost,normal,,"58.8,17.64|500,2000",0.34557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,1 SF,Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Dry
C.30.21.001k,Energy,normal,,99.65,0.42652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,1 SF,Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Dry
C.30.21.001k,Time,normal,0,"0.0544382,0.0163047|500,2000",0.42652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,1 SF,Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Dry
C.30.27.002,Carbon,lognormal,,6,1.30822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,100 SF,"Raised Access Floor, seismically rated."
C.30.27.002,Cost,lognormal,,"138,92|5,20",1.28411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,100 SF,"Raised Access Floor, seismically rated."
C.30.27.002,Energy,lognormal,,155,1.30822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,100 SF,"Raised Access Floor, seismically rated."
C.30.27.002,Time,lognormal,0,"0.144691,0.0953088|5,20",1.30822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,100 SF,"Raised Access Floor, seismically rated."
C.30.32.001d,Carbon,normal,,2175,0.60488,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,21325,0.57546,lognormal,,81550,0.3218,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,2500 SF,"Suspended Ceiling, SDC A,B,C, Area (A): A > 2500, Vert support only"
C.30.32.001d,Cost,normal,,"4350,2900|1,10",0.5508,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"34050,22700|1,10",0.51832,lognormal,,"70050,46700|1,10",0.20262,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,2500 SF,"Suspended Ceiling, SDC A,B,C, Area (A): A > 2500, Vert support only"
C.30.32.001d,Energy,normal,,21600,0.60488,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,288700,0.57546,lognormal,,807550,0.3218,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,2500 SF,"Suspended Ceiling, SDC A,B,C, Area (A): A > 2500, Vert support only"
C.30.32.001d,Time,normal,0,"3.61838,2.38162|1,10",0.60488,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"29.0904,19.4096|1,10",0.57546,lognormal,0,"59.7081,39.7919|1,10",0.3218,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,2500 SF,"Suspended Ceiling, SDC A,B,C, Area (A): A > 2500, Vert support only"
C.30.32.003a,Carbon,normal,,217.5,0.60488,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,2132.5,0.57546,lognormal,,8155,0.3218,,,,,,,,,,,,,,,,,,,,,,,,,kg,0,250 SF,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support"
C.30.32.003a,Cost,normal,,"725,217.5|1,10",0.5508,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,"5675,1702.5|1,10",0.51832,lognormal,,"11675,3502.5|1,10",0.20262,,,,,,,,,,,,,,,,,,,,,,,,,USD_2011,0,250 SF,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support"
C.30.32.003a,Energy,normal,,2160,0.60488,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,28870,0.57546,lognormal,,80755,0.3218,,,,,,,,,,,,,,,,,,,,,,,,,MJ,0,250 SF,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support"
C.30.32.003a,Time,normal,0,"0.696507,0.211397|1,10",0.60488,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0,"5.41232,1.61507|1,10",0.57546,lognormal,0,"11.155,3.34301|1,10",0.3218,,,,,,,,,,,,,,,,,,,,,,,,,worker_day,0,250 SF,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A < 250, Vert & Lat support"
C.30.32.003d,Carbon,normal,,2175,0.60488,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,,21325,0.57546,lognormal,,21325,0.57546,lognormal,,81550,0.3218,,,,,,,,,,,,,,,,,,,,,kg,0,250 SF,"Suspended Ceiling, SDC D,E (Ip=1.0), Area (A): A > 2500, Vert & Lat support"
